Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,high alpha
105.9032681,1027,208.1703839,-0.538455977,189.1999083,-0.439314619,369.4612029,-0.103224201,284.8875257,0.124834126,704.0262963,-0.907191453,1961.826369,-0.25027463,OOOOOO,,,
106.0125468,1028,207.1490818,1.657640824,190.4119886,0.187845771,369.1244041,-0.730320078,285.0557463,-0.260508339,704.2603055,-0.050829053,1961.807026,0.080427337,OOOOOO,,,
106.1110725,1029,143.8303762,-1.767858795,681.4480138,-0.54041393,1047.156845,0.418435529,793.1298151,0.756423936,1249.269807,0.754117974,3226.144531,0.844724896,OOOOOO,,,
106.2141256,1030,388.0369855,1.632754105,816.1598899,-0.276579896,803.955167,0.84705469,845.6206623,0.767415374,1300.203322,1.095793501,3679.578636,1.14332991,OOOOOO,,,
106.3165183,1031,938.2783798,1.275256616,762.4750665,0.101103664,638.781628,0.394377836,678.0615971,1.08418822,1321.624496,1.2718287,3787.77143,1.306289742,OOOOOO,,,
106.4145143,1032,727.5892853,0.789786562,569.6421723,0.396553303,617.5609463,0.919010207,550.8418676,0.702582466,1181.497572,1.158276306,4016.989562,1.292190119,OOOOOO,,,
106.5164876,1033,1377.333127,1.010917114,583.0831222,1.959296507,585.6484151,0.2826122,714.2918966,0.934089839,1377.516946,0.738929673,4112.347941,0.971215784,OOOOOO,,,
106.6147199,1034,1167.738365,0.601925809,535.6978648,1.051394111,688.8344682,1.096802432,566.597881,0.690799636,1260.552996,0.754717573,3914.076718,0.279655808,OOOOOO,,,
106.7171388,1035,750.3712139,1.699439808,681.194741,-0.152370039,504.4907952,0.400060771,378.2660114,0.545373129,1104.713408,1.19860515,3612.202739,0.460721883,OOOOOO,,,
106.8200839,1036,828.0844728,0.64835251,590.0014487,-1.413486947,594.0263624,0.739458874,581.4340628,0.555365658,1191.595308,1.013901842,3738.194047,1.21502814,XXXXXX,,,
106.9181201,1037,891.1287724,0.087217344,547.5527048,-0.784469651,655.5892545,0.374879472,462.0698223,1.35207792,935.9047706,0.984150814,3269.444805,0.725659273,XXXXXX,,,
107.0200868,1038,1046.869392,-0.477040354,437.7666084,0.642306253,271.1968827,-0.235607159,936.594597,1.005795011,2083.875147,1.26942071,2884.934102,0.697511088,XXXXXX,,,
107.1230907,1039,644.9279871,-1.12682372,513.2033364,-0.005563312,247.5773623,0.674001487,407.5115701,-0.128500479,689.6612192,0.325226354,2012.758572,0.13867506,XXXXXX,,,
107.2211704,1040,645.4637329,-2.068079728,513.0290987,0.622678321,247.2186787,0.045122132,407.5667259,0.452177699,689.8950662,0.61103401,2012.976349,0.469600892,OOOOOO,,,
107.3240449,1041,1288.211321,-2.863042944,572.0053627,1.609419351,503.4130967,-1.256337623,950.620126,-1.391954641,1318.685557,-1.520327344,3294.547311,-1.378171709,OOOOOO,,,
107.420361,1042,1098.890639,2.501740971,698.8446615,2.257726688,483.3912552,0.488391833,748.4794447,-1.013176162,1366.694583,-1.659349523,3739.540377,-1.297638521,OOOOOO,,,
107.5198889,1043,525.5531912,-2.868857557,645.7279013,-0.752660804,586.1451119,-2.388921208,864.7142158,-0.894847004,1446.169015,-2.143709051,4055.725192,-1.999395845,OOOOOO,,,
107.626997,1044,645.0990042,-2.690427332,738.8262122,-2.566138328,562.680049,-2.715360833,775.7549601,-1.804686178,1476.186881,-1.838287769,4381.481787,-1.677119213,OOOOOO,,,
107.7245178,1045,518.2525707,-2.492896491,591.4639009,-2.0852906,468.1751901,-2.078286482,807.7247061,-1.682467547,1497.305148,-1.047835584,4370.619843,-0.970291144,OOOOOO,,,
107.8196249,1046,380.1968149,-0.150128035,353.9714769,-2.260906416,561.505916,-2.526139102,685.9129948,-1.109989987,1380.110287,-0.99808387,4001.46249,-1.011082306,OOOOOO,,,
107.9259696,1047,120.3983582,-0.760226908,197.4386262,0.194592888,336.7906427,-1.811772354,644.3473941,-1.328376721,1283.2898,-0.87739044,3805.489757,-0.657158163,OOOOOO,,,
108.0276241,1048,304.8297601,-1.884021367,636.5811691,-2.70172859,596.4313585,-2.178234549,585.5971645,-1.556391367,1260.95556,-0.716518528,3834.610838,-1.077093211,OOOOOO,,,
108.1305931,1049,410.4567331,-1.723629867,588.7825255,-2.539163582,346.5784951,-1.287641873,546.495635,-1.34162556,1217.721771,-0.942217739,3479.771322,-0.971455032,OOOOOO,,,
108.2285571,1050,649.0595181,-2.256464985,649.07999,-2.286597569,714.6174787,-2.66172996,571.6712666,-1.4656941,1446.751523,-1.260077675,2953.605164,-0.232675998,OOOOOO,,,
108.3315468,1051,256.5694467,0.623230064,252.4097473,0.204274975,136.5123388,1.129138876,526.2361969,0.177499258,807.3878894,0.366429005,2157.941428,0.382869014,OOOOOO,,,
108.4338694,1052,255.4192352,-0.326268919,254.1668977,0.832742522,135.8454841,-0.766987581,526.1273802,-0.209548807,806.6890646,0.081733697,2158.095527,0.052789289,OOOOOO,,,
108.5318828,1053,402.3897322,1.20927102,404.1096439,1.300535152,420.6510843,0.329849698,817.6485981,0.611108332,1954.296485,0.975178277,3304.763309,1.231293277,OOOOOO,,,
108.6342657,1054,639.0390198,0.839708605,528.1108817,0.200788175,691.1402198,0.590978278,830.4842187,0.925395966,1662.529057,1.251335944,3791.642371,1.417831128,OOOOOO,,,
108.7328181,1055,717.0653559,0.475104279,664.038867,0.419991621,584.2318568,0.526340591,854.228991,0.967690434,1632.452529,1.237239021,4086.624223,1.457348526,OOOOOO,,,
108.8344777,1056,688.7271982,0.309694756,710.1218579,0.640961254,527.7077902,0.427852547,859.0664443,0.933163942,1543.393349,0.823599335,4223.66182,0.794090734,OOOOOO,,,
108.9372787,1057,592.3746445,1.159408344,542.9503168,0.880245625,611.8738009,0.825814541,856.3442096,0.793722969,1408.617971,1.01884719,4249.483938,0.85135007,OOOOOO,,,
109.0354776,1058,736.3120986,0.803657597,390.8922584,1.042932865,624.9424055,0.825249008,718.5095266,0.757323487,1364.197864,0.833962471,3998.336392,0.835810519,OOOOOO,,,
109.1374371,1059,357.2085662,-0.455443731,471.5760573,-1.686187935,293.4966483,-1.941682622,576.9251071,-0.619157384,1153.592972,-0.057382664,3782.440524,-0.002040557,OOOOOO,,,
109.2403836,1060,954.5573392,-0.707634319,541.9195383,-1.131589133,654.6170951,-0.611734211,541.5446415,-0.165483956,1034.397973,0.321780278,3625.020702,0.672242162,OOOOOO,,,
109.3384099,1061,1114.197555,-0.61529482,368.3745042,-1.395908599,609.014565,-0.695385627,591.4813443,-0.102518852,1048.412069,0.450149211,3484.190032,0.607857483,OOOOOO,,,
109.4375913,1062,784.0078927,-0.664187071,331.5579202,-0.140166951,310.4151615,-0.206582371,495.9636874,-0.221918779,850.5586486,-0.147449603,3015.146765,0.136977505,OOOOOO,,,
109.5361335,1063,540.9635623,-1.551399257,634.4586111,-0.24241656,442.3160438,0.428531818,316.3480743,-0.053716777,690.4310955,0.144077756,2142.737719,0.042807915,OOOOOO,,,
