LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha,AvgBeta,AvgGamma,PrevAlpha1,PrevBeta1,PrevGamma1,PrevAlpha2,PrevBeta2,PrevGamma2,PrevAlpha3,PrevBeta3,PrevGamma3,PrevAlpha4,PrevBeta4,PrevGamma4,PrevAlpha5,PrevBeta5,PrevGamma5,focus
532.6679759,2.159822708,1336.549707,-1.694550439,755.3999569,0.404641095,468.3999605,-0.507579746,510.8957157,-0.669236255,431.3938,-0.53093065,934.6088415,611.8999587,471.1447578,1215.766291,618.7841346,410.5597168,777.9777275,591.8404257,404.6158794,960.5755259,590.3248373,439.6978898,856.7233776,664.9631621,476.168287,651.5527832,628.9396819,492.6579966,0
844.8604016,1.436806627,1233.00577,-1.221426733,827.6718367,-0.244269768,470.1177378,-0.536397562,368.7980149,-0.356028676,354.9272937,-0.714611958,1038.933086,648.8947872,361.8626543,934.6088415,611.8999587,471.1447578,1215.766291,618.7841346,410.5597168,777.9777275,591.8404257,404.6158794,960.5755259,590.3248373,439.6978898,856.7233776,664.9631621,476.168287,0
736.5685601,0.761768215,1247.954557,-0.681856959,808.2579549,-0.757053323,467.4060598,0.344836897,297.6018037,0.255972565,280.6296073,-0.085321435,992.2615585,637.8320074,289.1157055,1038.933086,648.8947872,361.8626543,934.6088415,611.8999587,471.1447578,1215.766291,618.7841346,410.5597168,777.9777275,591.8404257,404.6158794,960.5755259,590.3248373,439.6978898,0
977.1531816,-0.584821309,1202.085803,-0.278372801,791.3488068,0.009449361,415.6894653,0.582903079,299.4810841,-0.601851063,278.4109619,-0.702808855,1089.619492,603.519136,288.946023,992.2615585,637.8320074,289.1157055,1038.933086,648.8947872,361.8626543,934.6088415,611.8999587,471.1447578,1215.766291,618.7841346,410.5597168,777.9777275,591.8404257,404.6158794,0
971.2932638,-1.447116522,1193.777773,0.397737661,764.4622973,0.658227794,481.1735085,0.069433697,322.9162801,-1.426769922,328.7960017,-0.476489315,1082.535518,622.8179029,325.8561409,1089.619492,603.519136,288.946023,992.2615585,637.8320074,289.1157055,1038.933086,648.8947872,361.8626543,934.6088415,611.8999587,471.1447578,1215.766291,618.7841346,410.5597168,0
920.0397995,0.667162273,1066.505398,0.828871021,757.0843545,0.010984863,443.9208593,-0.267730656,263.5886272,-0.090206217,302.1357048,0.161856625,993.2725986,600.5026069,282.862166,1082.535518,622.8179029,325.8561409,1089.619492,603.519136,288.946023,992.2615585,637.8320074,289.1157055,1038.933086,648.8947872,361.8626543,934.6088415,611.8999587,471.1447578,0
1005.313306,0.038294075,963.0792679,-1.094758068,672.8801784,-0.623489044,457.9697423,0.192201253,293.1765808,0.398192927,343.1118364,1.217235933,984.1962868,565.4249604,318.1442086,993.2725986,600.5026069,282.862166,1082.535518,622.8179029,325.8561409,1089.619492,603.519136,288.946023,992.2615585,637.8320074,289.1157055,1038.933086,648.8947872,361.8626543,0
1089.290973,-0.424082302,870.5672682,0.466829805,920.0129071,0.216079231,503.7573874,0.472939828,293.5090358,-0.396191483,320.1312131,-0.21904606,979.9291207,711.8851472,306.8201244,984.1962868,565.4249604,318.1442086,993.2725986,600.5026069,282.862166,1082.535518,622.8179029,325.8561409,1089.619492,603.519136,288.946023,992.2615585,637.8320074,289.1157055,0
416.1199339,0.355496406,1553.151682,2.319736896,1273.894863,-0.756842141,467.2896832,1.382980361,343.2641224,0.368239672,337.9502413,0.233905479,984.635808,870.5922732,340.6071818,979.9291207,711.8851472,306.8201244,984.1962868,565.4249604,318.1442086,993.2725986,600.5026069,282.862166,1082.535518,622.8179029,325.8561409,1089.619492,603.519136,288.946023,0
814.1358866,-0.147069092,1618.777175,2.33535514,540.3656441,0.103623496,435.2360124,-0.555361039,295.651772,0.534103877,355.2851629,0.383867346,1216.456531,487.8008283,325.4684675,984.635808,870.5922732,340.6071818,979.9291207,711.8851472,306.8201244,984.1962868,565.4249604,318.1442086,993.2725986,600.5026069,282.862166,1082.535518,622.8179029,325.8561409,0
802.4054849,-1.274272107,1405.921836,-1.185157052,515.0712312,-0.000662995,453.2836282,-0.216887828,358.7129149,1.095249653,387.9072085,0.296993576,1104.16366,484.1774297,373.3100617,1216.456531,487.8008283,325.4684675,984.635808,870.5922732,340.6071818,979.9291207,711.8851472,306.8201244,984.1962868,565.4249604,318.1442086,993.2725986,600.5026069,282.862166,0
1014.092035,0.815821899,1372.725836,-0.45424342,590.2721682,0.81485871,480.0227079,0.501146265,356.1387352,0.446083889,403.0428915,-0.083388489,1193.408935,535.147438,379.5908134,1104.16366,484.1774297,373.3100617,1216.456531,487.8008283,325.4684675,984.635808,870.5922732,340.6071818,979.9291207,711.8851472,306.8201244,984.1962868,565.4249604,318.1442086,0
1000.829596,0.011369544,1431.677545,0.115409362,412.0467875,-1.703163031,437.0903358,-0.422087714,341.4498614,-0.183651014,399.6699823,-0.372816244,1216.253571,424.5685616,370.5599218,1193.408935,535.147438,379.5908134,1104.16366,484.1774297,373.3100617,1216.456531,487.8008283,325.4684675,984.635808,870.5922732,340.6071818,979.9291207,711.8851472,306.8201244,0
1082.599088,-0.819554864,1369.826831,0.891535488,527.7890418,-0.253768281,406.0282253,0.484899871,390.2296928,-0.466562147,435.2901868,-0.591977853,1226.212959,466.9086336,412.7599398,1216.253571,424.5685616,370.5599218,1193.408935,535.147438,379.5908134,1104.16366,484.1774297,373.3100617,1216.456531,487.8008283,325.4684675,984.635808,870.5922732,340.6071818,0
1378.030265,2.020064679,1449.280141,-0.457766466,602.0699552,1.044023045,512.7315892,0.75895822,484.7511312,0.303811007,454.5163349,0.626368601,1413.655203,557.4007722,469.6337331,1226.212959,466.9086336,412.7599398,1216.253571,424.5685616,370.5599218,1193.408935,535.147438,379.5908134,1104.16366,484.1774297,373.3100617,1216.456531,487.8008283,325.4684675,0
1189.48988,1.213187623,1390.677803,0.215765329,692.0612245,-0.384527385,498.0937708,0.448234518,436.835747,-0.154084377,411.2427285,0.249175476,1290.083841,595.0774976,424.0392378,1413.655203,557.4007722,469.6337331,1226.212959,466.9086336,412.7599398,1216.253571,424.5685616,370.5599218,1193.408935,535.147438,379.5908134,1104.16366,484.1774297,373.3100617,0
1196.644579,-0.039792535,1272.296839,0.815410126,708.8924768,0.233072128,505.6919213,-0.390627988,405.67066,-0.57644211,415.5564464,-0.713031884,1234.470709,607.2921991,410.6135532,1290.083841,595.0774976,424.0392378,1413.655203,557.4007722,469.6337331,1226.212959,466.9086336,412.7599398,1216.253571,424.5685616,370.5599218,1193.408935,535.147438,379.5908134,0
1156.816364,-0.8100263,962.345448,1.50894193,816.8687343,-0.050086551,519.9109264,-0.056505934,394.9900409,0.262193232,401.9454218,0.332655397,1059.580906,668.3898303,398.4677314,1234.470709,607.2921991,410.6135532,1290.083841,595.0774976,424.0392378,1413.655203,557.4007722,469.6337331,1226.212959,466.9086336,412.7599398,1216.253571,424.5685616,370.5599218,0
844.0468737,1.533779431,692.1123828,-0.139798052,711.9621898,0.286047351,645.1334689,-0.526763821,432.3891401,0.511722964,416.119334,0.29526524,768.0796282,678.5478294,424.254237,1059.580906,668.3898303,398.4677314,1234.470709,607.2921991,410.6135532,1290.083841,595.0774976,424.0392378,1413.655203,557.4007722,469.6337331,1226.212959,466.9086336,412.7599398,0
966.9804647,-0.11121677,543.8165667,0.452011217,782.1856935,-0.081150999,566.5790721,0.252501172,466.7531132,0.944346696,412.261153,0.934461794,755.3985157,674.3823828,439.5071331,768.0796282,678.5478294,424.254237,1059.580906,668.3898303,398.4677314,1234.470709,607.2921991,410.6135532,1290.083841,595.0774976,424.0392378,1413.655203,557.4007722,469.6337331,0
1512.660808,-1.033064561,576.772365,-0.937496202,793.1816666,-0.615967605,552.9614427,-0.293033947,459.2531047,0.496480312,401.4376544,0.084913317,1044.716587,673.0715547,430.3453796,755.3985157,674.3823828,439.5071331,768.0796282,678.5478294,424.254237,1059.580906,668.3898303,398.4677314,1234.470709,607.2921991,410.6135532,1290.083841,595.0774976,424.0392378,0
