LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha,AvgBeta,AvgGamma,PrevAlpha1,PrevBeta1,PrevGamma1,PrevAlpha2,PrevBeta2,PrevGamma2,PrevAlpha3,PrevBeta3,PrevGamma3,PrevAlpha4,PrevBeta4,PrevGamma4,PrevAlpha5,PrevBeta5,PrevGamma5,focus
1114.151528,2.801832397,1029.140975,-1.880815695,815.6248578,0.401324115,1295.428787,-1.232448838,1941.629372,-0.345413619,1640.205256,0.268102599,1071.646252,1055.526823,1790.917314,680.6505208,1001.835664,1878.211643,655.4520869,788.6039173,1825.316003,661.8241781,769.7885277,1843.090156,570.4700169,721.4612461,1863.285127,774.0629344,711.9715563,1767.104162,1
853.3039308,2.141929019,1048.637387,-1.128842934,750.8710164,-0.490769916,1340.941314,-1.343519144,1912.159976,0.566621303,1617.173445,0.608048749,950.9706588,1045.906165,1764.666711,1071.646252,1055.526823,1790.917314,680.6505208,1001.835664,1878.211643,655.4520869,788.6039173,1825.316003,661.8241781,769.7885277,1843.090156,570.4700169,721.4612461,1863.285127,1
723.4280687,0.877876505,1049.465821,-0.419619078,669.9975902,-0.634326997,1380.612068,-0.679733999,1898.58054,0.595819555,1568.012434,0.526225757,886.4469451,1025.304829,1733.296487,950.9706588,1045.906165,1764.666711,1071.646252,1055.526823,1790.917314,680.6505208,1001.835664,1878.211643,655.4520869,788.6039173,1825.316003,661.8241781,769.7885277,1843.090156,1
1019.298447,-0.07020545,905.4584897,-1.854150422,685.0754565,-0.342016441,1435.895182,0.800895634,2081.81117,0.64782621,1671.636019,0.454801789,962.3784681,1060.485319,1876.723595,886.4469451,1025.304829,1733.296487,950.9706588,1045.906165,1764.666711,1071.646252,1055.526823,1790.917314,680.6505208,1001.835664,1878.211643,655.4520869,788.6039173,1825.316003,1
830.9084183,-0.840075783,992.9564665,-1.271187284,627.7955265,0.541367556,1705.159102,0.146519006,2372.218157,0.80986665,1982.702847,0.384825792,911.9324424,1166.477314,2177.460502,962.3784681,1060.485319,1876.723595,886.4469451,1025.304829,1733.296487,950.9706588,1045.906165,1764.666711,1071.646252,1055.526823,1790.917314,680.6505208,1001.835664,1878.211643,1
852.0847632,-1.657839135,1005.315479,-0.654621202,675.1023874,-0.062648905,1782.164489,0.433130556,2281.017716,0.261820877,1859.565166,-0.044159608,928.7001213,1228.633438,2070.291441,911.9324424,1166.477314,2177.460502,962.3784681,1060.485319,1876.723595,886.4469451,1025.304829,1733.296487,950.9706588,1045.906165,1764.666711,1071.646252,1055.526823,1790.917314,1
839.5934107,0.488794196,884.7412225,0.096153782,625.8162931,-0.602549246,1803.951867,0.019319636,2305.864128,0.035426038,1900.700638,-0.313960466,862.1673166,1214.88408,2103.282383,928.7001213,1228.633438,2070.291441,911.9324424,1166.477314,2177.460502,962.3784681,1060.485319,1876.723595,886.4469451,1025.304829,1733.296487,950.9706588,1045.906165,1764.666711,1
863.5228272,-0.451177824,726.7828668,0.802368452,567.2613012,0.117207454,1785.672418,0.80515925,2373.206045,0.3632202,1860.416696,-0.051622181,795.152847,1176.466859,2116.81137,862.1673166,1214.88408,2103.282383,928.7001213,1228.633438,2070.291441,911.9324424,1166.477314,2177.460502,962.3784681,1060.485319,1876.723595,886.4469451,1025.304829,1733.296487,1
955.6154665,-1.434532225,898.318453,-2.541319091,690.9456376,0.46668905,1966.870211,-0.430278058,2395.01713,-0.568772471,1824.697959,-0.144768758,926.9669598,1328.907924,2109.857544,795.152847,1176.466859,2116.81137,862.1673166,1214.88408,2103.282383,928.7001213,1228.633438,2070.291441,911.9324424,1166.477314,2177.460502,962.3784681,1060.485319,1876.723595,1
589.5283219,1.181770874,475.8035298,-0.991773687,788.2631539,1.320300319,1581.87768,-0.186032666,2209.603667,0.308062287,1694.984948,-0.084396112,532.6659258,1185.070417,1952.294308,926.9669598,1328.907924,2109.857544,795.152847,1176.466859,2116.81137,862.1673166,1214.88408,2103.282383,928.7001213,1228.633438,2070.291441,911.9324424,1166.477314,2177.460502,1
823.4556515,-0.026458137,967.2894561,0.580345837,819.3180779,-0.997705667,1667.263239,-0.056560272,2240.462225,-0.694844775,1680.117025,-0.528992964,895.3725538,1243.290659,1960.289625,532.6659258,1185.070417,1952.294308,926.9669598,1328.907924,2109.857544,795.152847,1176.466859,2116.81137,862.1673166,1214.88408,2103.282383,928.7001213,1228.633438,2070.291441,1
752.9225384,-0.800668558,988.6014341,1.358594912,851.3520287,0.560707495,1602.220831,-0.411380534,2027.60947,0.202214495,1445.155994,0.048476894,870.7619863,1226.78643,1736.382732,895.3725538,1243.290659,1960.289625,532.6659258,1185.070417,1952.294308,926.9669598,1328.907924,2109.857544,795.152847,1176.466859,2116.81137,862.1673166,1214.88408,2103.282383,1
773.9262386,1.355496626,946.8976822,-0.17193722,798.3296335,-0.186229908,1578.052968,0.52012612,2107.276171,0.803399208,1486.900862,0.617679796,860.4119604,1188.191301,1797.088516,870.7619863,1226.78643,1736.382732,895.3725538,1243.290659,1960.289625,532.6659258,1185.070417,1952.294308,926.9669598,1328.907924,2109.857544,795.152847,1176.466859,2116.81137,1
722.5450271,0.523434001,936.128527,0.3752774,950.5695335,-0.434461025,1678.536683,-0.039391374,1763.306749,0.177105758,1277.481068,-0.132567843,829.336777,1314.553108,1520.393909,860.4119604,1188.191301,1797.088516,870.7619863,1226.78643,1736.382732,895.3725538,1243.290659,1960.289625,532.6659258,1185.070417,1952.294308,926.9669598,1328.907924,2109.857544,1
666.0908909,-0.292111897,899.2553918,-1.149069502,826.1005115,0.217120922,1500.839331,0.352593243,1559.313057,-0.353661238,1245.393332,-0.227920454,782.6731414,1163.469921,1402.353194,829.336777,1314.553108,1520.393909,860.4119604,1188.191301,1797.088516,870.7619863,1226.78643,1736.382732,895.3725538,1243.290659,1960.289625,532.6659258,1185.070417,1952.294308,1
629.1614547,-1.188624193,987.6568807,-0.326761389,936.9723534,-0.19993153,1590.031535,0.390050951,1430.036806,0.147461982,1194.41702,-0.093653123,808.4091677,1263.501944,1312.226913,782.6731414,1163.469921,1402.353194,829.336777,1314.553108,1520.393909,860.4119604,1188.191301,1797.088516,870.7619863,1226.78643,1736.382732,895.3725538,1243.290659,1960.289625,1
729.7083363,-2.148053239,1018.447085,0.257826112,868.997882,0.311529319,1614.95,-0.599582396,1300.450955,-0.706585906,1162.558205,-0.225523557,874.0777107,1241.973941,1231.50458,808.4091677,1263.501944,1312.226913,782.6731414,1163.469921,1402.353194,829.336777,1314.553108,1520.393909,860.4119604,1188.191301,1797.088516,870.7619863,1226.78643,1736.382732,1
442.8743943,0.57333468,1095.677014,-1.039731505,911.7049165,-0.51094831,1481.975986,1.0674741,1186.323532,-0.514258905,1078.480896,-0.459871045,769.275704,1196.840451,1132.402214,874.0777107,1241.973941,1231.50458,808.4091677,1263.501944,1312.226913,782.6731414,1163.469921,1402.353194,829.336777,1314.553108,1520.393909,860.4119604,1188.191301,1797.088516,1
448.2451942,-0.42552052,1064.857379,-0.362306212,852.9738797,0.390361267,1278.245138,-0.288885273,1200.42686,-0.933874518,1103.587597,-0.566975613,756.5512864,1065.609509,1152.007229,769.275704,1196.840451,1132.402214,874.0777107,1241.973941,1231.50458,808.4091677,1263.501944,1312.226913,782.6731414,1163.469921,1402.353194,829.336777,1314.553108,1520.393909,1
886.403957,1.964960979,849.2602803,0.471510051,853.7368922,0.696418957,1217.227288,0.306610996,1169.737963,-0.54790357,1057.217084,-0.227220707,867.8321187,1035.48209,1113.477523,756.5512864,1065.609509,1152.007229,769.275704,1196.840451,1132.402214,874.0777107,1241.973941,1231.50458,808.4091677,1263.501944,1312.226913,782.6731414,1163.469921,1402.353194,1
731.4947545,1.747254475,633.5660164,-0.818623139,742.1693224,-0.151732899,1117.827478,-0.25262996,1054.729842,-0.613521079,1010.783029,-0.0963652,682.5303855,929.9984002,1032.756436,867.8321187,1035.48209,1113.477523,756.5512864,1065.609509,1152.007229,769.275704,1196.840451,1132.402214,874.0777107,1241.973941,1231.50458,808.4091677,1263.501944,1312.226913,1
984.5375226,0.882031709,625.4010676,-0.072984712,850.3019749,0.550464955,1159.031429,0.808706239,968.6408912,-1.1644956,948.1576148,-0.846702775,804.9692951,1004.666702,958.399253,682.5303855,929.9984002,1032.756436,867.8321187,1035.48209,1113.477523,756.5512864,1065.609509,1152.007229,769.275704,1196.840451,1132.402214,874.0777107,1241.973941,1231.50458,1
877.9797497,-0.21245011,595.4406078,0.300276057,760.0103002,-0.242564606,1205.464535,1.035188105,942.8202216,-0.563618532,877.125579,-0.43020255,736.7101787,982.7374177,909.9729003,804.9692951,1004.666702,958.399253,682.5303855,929.9984002,1032.756436,867.8321187,1035.48209,1113.477523,756.5512864,1065.609509,1152.007229,769.275704,1196.840451,1132.402214,1
871.2556068,-1.094016609,628.3297451,-1.032048034,749.1493364,0.509158756,967.4584787,0.066340645,1012.170309,-0.706477042,918.4024971,-0.454110711,749.792676,858.3039075,965.286403,736.7101787,982.7374177,909.9729003,804.9692951,1004.666702,958.399253,682.5303855,929.9984002,1032.756436,867.8321187,1035.48209,1113.477523,756.5512864,1065.609509,1152.007229,1
881.1996281,1.163923969,869.2604907,-0.080935714,576.1482005,0.21146713,1057.677166,-0.656885613,970.5186155,-0.880284124,897.2591739,-0.277498922,875.2300594,816.912683,933.8888947,749.792676,858.3039075,965.286403,736.7101787,982.7374177,909.9729003,804.9692951,1004.666702,958.399253,682.5303855,929.9984002,1032.756436,867.8321187,1035.48209,1113.477523,1
902.8820068,0.234100976,853.2491012,0.168529394,658.5708096,1.325992286,934.977621,0.113287259,876.9240327,0.028506277,814.8632479,-0.194523385,878.065554,796.7742153,845.8936403,875.2300594,816.912683,933.8888947,749.792676,858.3039075,965.286403,736.7101787,982.7374177,909.9729003,804.9692951,1004.666702,958.399253,682.5303855,929.9984002,1032.756436,1
1115.572365,-1.111829077,867.2293518,0.309011328,583.8144497,-0.686838751,954.9593509,-0.628503716,870.3971174,0.275711008,750.5312062,0.096744162,991.4008583,769.3869003,810.4641618,878.065554,796.7742153,845.8936403,875.2300594,816.912683,933.8888947,749.792676,858.3039075,965.286403,736.7101787,982.7374177,909.9729003,804.9692951,1004.666702,958.399253,1
