Timestamp,Iterations,LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,EyeStatus,,lowalpha,,highalpha
57.64448142,539,993.3329467,-2.701145836,520.7175145,-1.644846786,614.452163,-1.174678465,793.159473,-1.789744094,1046.270053,-2.218722724,3121.082392,-1.569794224,OOOOOO,,,,
57.74748206,540,916.2387292,2.877170446,664.894038,-1.436198361,533.883854,-0.093823796,635.3914524,-1.572056209,1100.365653,-2.087440582,3269.786839,-1.592441728,OOOOOO,,,,
57.8495307,541,463.0584434,-1.860638251,491.8695764,-0.472930896,391.4281538,-1.000745519,514.5670087,-1.272957198,854.2704804,-2.051092212,3132.767901,-1.312110282,OOOOOO,,,,
57.94743466,542,674.373719,2.617277069,523.6044776,-1.039758546,423.9479202,-1.456709161,513.1745113,-0.183011483,676.2971841,-0.512958502,3155.047647,-1.225878403,OOOOOO,,,,
58.05050349,543,624.3063033,1.80656299,498.7873381,0.715903579,394.8414794,0.64072615,426.71442,-0.10280682,640.7122238,-0.867825843,3100.628808,-0.576634512,OOOOOO,,,,
58.14950061,544,457.7367565,0.462486313,417.4394799,-0.748631347,345.8706904,-0.022371676,409.4318921,0.645381748,579.9600557,-1.118615301,3021.471199,-0.613162141,OOOOOO,,,,
58.25036883,545,365.1376989,-0.485021563,409.9823627,-2.069791396,247.8572207,1.377451914,412.1018458,0.612767508,602.2291792,0.258669036,3002.754563,0.053114489,OOOOOO,,,,
58.35338712,546,389.594398,2.437308899,365.9517538,1.024735779,416.0996759,0.706203162,392.9669624,-0.894479062,818.2265088,-0.818264318,3096.029905,-0.47816613,OOOOOO,,,,
58.4513855,547,752.5857243,2.196662524,674.1668461,0.880111945,413.425568,-1.915626191,447.5330309,-1.18314592,895.2700438,-1.976769903,2925.349854,-0.937992908,OOOOOO,,,,
58.55436182,548,696.8610907,2.569395797,1093.956107,-0.634583069,619.6221023,-1.28898678,722.7428395,-2.013407198,1705.228036,-2.107442802,2478.02701,-1.511553055,OOOOOO,,,,
