LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,focus
735.2602314,-1.506399713,855.440742,1.274670837,693.5508683,1.698871865,873.755475,0.061775877,1031.599937,0.165486902,1039.025035,0.361946169,1
871.5360356,0.503194467,791.8332705,1.736707739,536.4983468,0.53010349,948.324076,0.384909852,1101.865478,-0.016852194,1119.931221,0.483015801,1
922.5182856,-0.694228104,1149.277293,1.926569047,619.9348591,0.899581006,996.9918684,-0.045687931,1118.128484,-0.859483394,1155.688754,-0.237172928,1
1055.509357,-1.163953687,485.8757447,-0.496481768,625.2356891,0.873669406,1083.34822,0.233854868,1177.617173,-0.040823182,1206.671966,0.732845489,1
751.3113166,-2.295647162,583.5957637,0.337798942,689.9647291,0.302737197,1106.795545,0.721199037,1315.369943,-0.839729958,1289.707248,-0.30190388,1
1096.510754,2.787234499,656.8055997,1.179334988,659.3266053,-0.467063918,1129.532175,0.206497852,1327.611389,-0.47569235,1338.732173,0.035630687,1
1224.375003,1.509104652,927.7096882,1.465702211,724.45677,0.611241344,1174.764622,0.763896788,1474.90637,-0.842583014,1346.625021,-0.108937059,1
593.8914342,-0.260960653,369.5037267,0.464567601,651.1116961,-0.88264868,1223.436832,-0.456817181,1432.919223,-0.523318764,1242.401564,-0.112689605,1
874.2593184,-0.213531173,485.6795742,1.212711521,798.1298487,1.139047977,1243.818707,-0.342785696,1478.946186,-0.270946153,1263.392309,0.059099221,1
1000.195468,-1.692688249,514.0573098,-0.981572973,1059.951053,-1.867305486,1235.519114,0.647494462,1453.107846,0.121392277,1282.006236,-0.183426969,1
852.9296306,2.389237224,682.7046815,-0.849020946,1068.714122,0.103289284,1168.098494,0.025325459,1258.289781,0.586135067,1238.200218,0.200874176,1
995.0545202,1.754239857,802.2068564,-0.276548338,934.1834831,0.246464248,1323.741708,-0.832562995,1274.362065,0.494136627,1220.398199,-0.058467036,1
1451.920206,0.518017429,833.310475,0.259582673,945.6117675,-0.567268768,1251.500737,0.445623309,1205.78034,-0.420886273,1217.386065,-0.926834133,1
1387.573918,-0.105490353,1287.489777,2.510801804,1034.463916,-0.832946153,1185.351774,0.409610854,1211.06627,0.021257687,1161.822181,-0.146030323,1
1685.512895,-1.143574411,897.7638908,-0.552052077,1178.578785,1.003291594,1130.569126,0.040802628,1196.913856,0.212549634,1093.933659,0.674620686,1
1640.5728,1.098913626,906.6502781,0.072922579,1115.887793,0.29817063,1172.473695,-0.281223924,1215.406327,0.62568271,975.8539512,-0.040074687,1
1689.914823,0.158127908,898.7477925,0.599640638,1104.922207,-0.290916214,1090.616375,0.7866686,1173.958218,-0.511908608,858.8099452,0.151650527,1
1678.517624,-0.795604989,841.8180109,0.620055516,898.2845152,0.032890248,1047.682046,0.815788037,1113.467206,-0.233818028,830.2388997,0.142427244,1
1592.368585,-1.902769568,795.4355918,1.348515362,857.2097991,0.462639574,1049.245687,0.580247645,1114.055779,0.212827936,881.83516,0.262082407,1
1399.969299,0.446037331,972.2888389,1.196157812,1084.210411,1.476916054,1009.019028,-0.292613243,986.2060142,-0.20612962,836.996039,0.256963267,1
1402.725548,-0.108711939,850.9332708,1.530141744,818.3575942,-0.429548267,891.0592439,0.976067534,987.1431126,-0.278383067,820.6908196,-0.455526746,1
1170.22918,1.921922965,956.2569848,-0.223072539,889.6525973,-1.110269279,769.315001,-0.292758194,1053.776056,0.484665317,848.5688154,0.755494126,1
579.3474232,1.145732826,839.6372668,0.349073131,637.6558862,0.781438852,888.7171085,0.324880141,994.8485318,0.406677541,799.0947042,-0.156984645,1
893.5613476,-0.565358436,977.8849644,0.830709922,652.5446248,-0.469892175,831.4006303,-0.632347971,1010.310645,-0.482364066,828.9333326,-0.184194389,1
431.1676589,-1.289597155,1162.367565,1.597746119,742.5541133,0.591057501,862.4030122,-0.032004437,1004.305436,0.703713418,811.6780108,0.67266463,1
446.2994025,0.871089738,1074.994178,0.171239122,829.4853628,-0.966394849,876.5618952,0.260564278,1017.297216,0.358144881,897.0622027,-0.015088514,1
433.7980536,0.246644323,1136.235461,-1.403077579,893.9327587,-1.025998369,956.3603582,-0.270865839,1129.688899,0.106944454,973.4900762,0.39668431,1
440.0340241,-0.883420596,1010.257651,-0.777962954,911.350594,-0.808469222,1033.415193,-0.542864695,1076.451533,0.099893016,1010.040103,0.308583882,1
447.1047845,-1.794440428,1008.681718,-0.373792767,1126.428959,-0.233915969,970.1208301,0.053313277,1070.475819,0.772764395,1058.562473,0.477439779,1
854.6669553,2.288675081,717.8270257,0.518385646,1000.846404,0.373671462,882.1253142,-0.503834824,1090.36437,-0.801374005,1095.312124,-0.503842611,1
507.1768937,0.444316983,804.5247404,0.689280459,1010.484941,-0.422712485,901.6901562,-0.571666725,1061.472937,-0.426880032,1117.832979,-0.250963372,1
534.2113561,-0.615992336,684.4976355,-0.603893846,1042.644332,0.193112772,745.0739584,0.009317479,1137.811826,-0.316300832,1151.229295,-0.019024841,1
419.717038,1.66747317,728.1540784,-0.27900257,1044.019994,0.840703278,744.1056411,-0.084574048,1109.751261,-0.377852131,1075.566287,0.263723163,1
337.6304808,0.634938939,571.0956476,-0.42276515,998.7046475,0.087720367,772.1436049,-0.056755808,1089.127953,-0.118353696,1041.163469,-0.402608378,1
733.2976553,0.019745744,704.4507243,-1.642639494,728.2300743,0.728609325,761.8834292,-0.128772987,1118.218237,-0.249833579,1066.925192,0.299957407,1
