LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,focus
281.0136874,0.084365307,246.2850877,0.044167256,299.5236033,0.694312175,253.4302412,0.012598449,297.1081602,-0.02499874,239.070684,-0.042900136,0
323.1107489,-0.721915476,231.7888595,-1.299656749,308.494805,0.113535677,265.1156649,0.51436819,299.2447545,-0.164075194,271.1789832,0.166655657,0
173.4296429,-1.574429305,209.0097907,1.519413699,317.2206279,-0.549525212,267.1072096,0.042739368,304.9669923,0.78385999,275.000451,0.320366199,0
306.3487607,-2.343331837,323.8979824,-0.458248844,210.9673993,1.122295354,254.5901956,0.087628764,265.4674094,0.416653738,306.3298147,-0.047100848,0
334.1245708,1.98573655,219.8420132,-1.079828428,270.100716,-0.229232583,239.1219104,0.192529757,295.6432036,0.898552176,313.577893,0.42980044,0
404.4620862,1.054044996,219.4928615,0.833042233,227.7821268,-0.876383127,247.4728213,0.084416964,236.8378323,0.920142124,304.1186049,-0.098054761,0
397.5386772,0.180965573,239.3692551,1.2778498,189.0901611,-0.017457158,254.5398575,-0.606590511,229.4647711,0.402231576,299.1474255,0.152787927,0
867.2755495,-1.436197059,408.7207606,-1.270317627,364.2313934,-0.999217932,276.6481371,-0.777445052,288.2438679,-0.093408986,367.2859292,-0.092904836,0
560.0546135,0.605890949,226.8737498,0.618591158,170.0493293,-0.120087725,277.2757576,-0.080439375,230.2818297,0.641680257,303.8139698,0.29604964,0
572.0896642,0.245392177,233.2188909,1.097121852,155.8098395,-0.197165313,314.4126193,-0.858146888,245.5767697,-0.212930068,323.4156928,-0.580580331,0
653.0603342,-0.680601183,233.3601347,-0.29279034,243.1731974,-0.800120758,310.7020642,-0.749706954,239.8786761,0.039559542,314.7016524,-0.774253182,0
519.8823414,-1.90984263,272.2242139,0.45886066,194.787029,-0.698956621,289.2209275,0.179178355,254.2352787,-0.182006444,238.8589664,-0.86709614,0
642.0999149,-2.311352554,244.7442445,0.810961048,224.7869746,1.090779737,296.3166697,-0.468527764,205.29632,0.052038879,191.6370911,0.081302893,0
549.6977366,-0.124370949,292.3703379,1.21990815,193.5614421,-0.641820554,340.6778118,-0.351018171,238.0704435,-0.809070028,221.7738684,-0.049978792,0
534.3361795,-0.751748532,152.8871194,0.79062699,250.3712619,-1.011020753,332.4245945,0.034598136,234.7544433,-0.910243388,236.4440891,-0.335517512,0
582.3181341,-1.416280964,241.6370427,-1.775857475,246.723166,0.375774561,324.2866075,0.023897043,196.4337514,-0.952596322,230.7089328,-0.73008266,0
561.9395127,0.708958351,233.1554472,-1.215619134,243.1879903,0.993670569,330.9523774,-0.414924792,222.7100761,0.295061453,256.6063739,0.595812472,0
671.5706245,2.311748501,309.7327128,1.393267183,258.3514517,0.106892172,313.0891798,0.428582667,259.5092822,0.302833576,293.0262003,0.160606428,0
403.5310863,1.424312364,234.6529776,0.720320696,229.3644377,-0.178987173,274.8994386,1.292159135,198.8251993,0.346273058,282.1690033,0.586927174,0
952.3089252,-1.801271603,990.2552345,-1.839559771,831.6810941,-1.550380415,566.7546344,-0.842218071,342.6997192,-0.431899828,400.1444374,0.090775805,0
503.0835007,-0.342682106,633.0355504,-1.409324288,495.5274618,0.550012006,313.1905122,-0.681672123,242.8719814,-0.074022087,319.5747167,0.001839699,0
493.7621116,-0.037385806,428.7296368,-1.153786716,498.9035411,0.276184051,262.7476196,-0.168490056,208.5909065,-0.042109794,290.195011,-0.0480043,0
454.9907879,-0.227538562,313.3841282,-0.774214807,489.1382622,-1.457626859,251.639026,0.02916945,231.5109046,0.73508652,299.90939,0.573837846,0
579.1695619,-1.580503291,344.0799297,-0.100613277,530.2340282,0.455410338,248.1667011,0.541352229,256.6981715,0.606821433,289.8962693,0.927189069,0
581.2498095,0.805421976,283.0421942,0.560087832,621.6116968,-0.149712611,301.8804824,-0.465218185,235.2155528,0.571938334,247.2892777,0.358146233,0
582.0798103,-0.09439336,321.2253938,-0.006813552,585.5708335,0.503169354,265.8304764,0.128590795,220.0619941,0.736758658,231.5267574,-0.066289562,0
537.8214728,-1.088191204,319.2771753,0.670809686,578.4041662,-0.13109529,259.0413238,-0.530703897,190.0193951,0.400093621,222.6271649,-0.01921173,0
624.0437875,-2.069980628,341.7342995,-0.606651237,600.0084271,0.538009584,283.4376146,-0.444467707,161.8225125,0.681203342,204.5623201,0.307634232,0
588.9421388,0.009905726,356.7213188,-0.133889799,624.2464079,1.067334628,275.3234191,0.397870143,180.0524365,0.531420766,219.2188988,0.414238045,0
1333.239897,1.586018052,720.1723818,1.456218623,535.4210896,2.328667253,472.6002433,1.639034587,377.5303801,2.120909799,343.0555485,1.26125927,0
723.511481,2.059885274,537.9513546,2.418275564,348.6402931,0.30697796,328.1450279,1.273640302,279.0936348,-0.086626779,285.203607,-0.696009395,0
264.9571783,1.33062848,397.1065872,-0.066551495,269.1871232,1.794676565,260.4171753,-0.537949896,240.5211377,1.005098828,296.2064976,0.184316757,0
244.1675477,0.496845966,355.5045686,-1.351189696,238.1268909,-0.090563032,294.7735621,-0.115393787,277.5384753,1.688041228,300.1188676,0.894962492,0
222.6511739,-0.594289618,324.0870411,-0.61071105,230.4616624,-0.389914254,246.2731169,1.100155079,242.0754541,-0.354477212,286.5970748,-0.488226272,0
344.8068826,-1.680447955,289.3270737,-0.419694745,204.7895416,-1.287055208,212.1856605,-0.075047829,228.1124357,0.122478788,285.7503476,-0.064629168,0
229.6778427,0.459907371,307.0211307,0.633590673,140.2161813,0.601897104,227.518267,0.216259412,267.8454301,-0.246443913,317.3519113,-0.285915605,0
227.3524623,-0.438127382,309.343168,1.208927047,153.3852603,0.502514634,233.0999002,-0.674067472,259.9113312,-0.040270181,315.9284365,0.028069779,0
413.840384,0.072166391,374.0220574,-0.185711795,190.1300628,0.25537288,268.0061614,-0.297465942,261.4934515,-0.785733762,330.8182777,-1.13288992,0
